date,ticker,sentiment_score
2022-01-02,BHARTIARTL.NS,1.0
2022-01-09,BHARTIARTL.NS,1.0
2022-01-16,BHARTIARTL.NS,1.0
2022-01-23,BHARTIARTL.NS,-1.0
2022-01-30,BHARTIARTL.NS,1.0
2022-02-06,BHARTIARTL.NS,0.999
2022-02-13,BHARTIARTL.NS,0.0
2022-02-20,BHARTIARTL.NS,1.0
2022-02-27,BHARTIARTL.NS,-1.0
2022-03-06,BHARTIARTL.NS,-1.0
2022-03-13,BHARTIARTL.NS,1.0
2022-03-20,BHARTIARTL.NS,1.0
2022-03-27,BHARTIARTL.NS,-1.0
2022-04-03,BHARTIARTL.NS,1.0
2022-04-10,BHARTIARTL.NS,0.0
2022-04-17,BHARTIARTL.NS,-1.0
2022-04-24,BHARTIARTL.NS,0.0
2022-05-01,BHARTIARTL.NS,1.0
2022-05-08,BHARTIARTL.NS,-1.0
2022-05-15,BHARTIARTL.NS,-1.0
2022-05-22,BHARTIARTL.NS,0.0
2022-05-29,BHARTIARTL.NS,0.0
2022-06-05,BHARTIARTL.NS,0.0
2022-06-12,BHARTIARTL.NS,-1.0
2022-06-19,BHARTIARTL.NS,-1.0
2022-06-26,BHARTIARTL.NS,1.0
2022-07-03,BHARTIARTL.NS,0.0
2022-07-10,BHARTIARTL.NS,1.0
2022-07-17,BHARTIARTL.NS,-1.0
2022-07-24,BHARTIARTL.NS,1.0
2022-07-31,BHARTIARTL.NS,1.0
2022-08-07,BHARTIARTL.NS,0.0
2022-08-14,BHARTIARTL.NS,1.0
2022-08-21,BHARTIARTL.NS,1.0
2022-08-28,BHARTIARTL.NS,1.0
2022-09-04,BHARTIARTL.NS,1.0
2022-09-11,BHARTIARTL.NS,1.0
2022-09-18,BHARTIARTL.NS,1.0
2022-09-25,BHARTIARTL.NS,0.999
2022-10-02,BHARTIARTL.NS,1.0
2022-10-09,BHARTIARTL.NS,1.0
2022-10-16,BHARTIARTL.NS,-1.0
2022-10-23,BHARTIARTL.NS,1.0
2022-10-30,BHARTIARTL.NS,1.0
2022-11-06,BHARTIARTL.NS,1.0
2022-11-13,BHARTIARTL.NS,1.0
2022-11-20,BHARTIARTL.NS,0.999
2022-11-27,BHARTIARTL.NS,1.0
2022-12-04,BHARTIARTL.NS,0.0
2022-12-11,BHARTIARTL.NS,-1.0
